SYMBOL ENSEMBL HOCOID
Irf8 ENSMUSG00000041515 IRF8
Irf9 ENSMUSG00000002325 IRF9
Isl1 ENSMUSG00000042258 ISL1
Tcf4 ENSMUSG00000053477 ITF2
Jun ENSMUSG00000052684 JUN
Junb ENSMUSG00000052837 JUNB
Jund ENSMUSG00000071076 JUND
Zbtb33 ENSMUSG00000048047 KAISO
Klf1 ENSMUSG00000054191 KLF1
Klf15 ENSMUSG00000030087 KLF15
Klf3 ENSMUSG00000029178 KLF3
Klf4 ENSMUSG00000003032 KLF4
Klf6 ENSMUSG00000000078 KLF6
Klf8 ENSMUSG00000041649 KLF8
Lef1 ENSMUSG00000027985 LEF1
Lhx2 ENSMUSG00000000247 LHX2
Lhx3 ENSMUSG00000026934 LHX3
Maf ENSMUSG00000055435 MAF
Mafa ENSMUSG00000047591 MAFA
Mafb ENSMUSG00000074622 MAFB
Mafg ENSMUSG00000051510 MAFG
Mafk ENSMUSG00000018143 MAFK.A
Mafk ENSMUSG00000018143 MAFK.S
Max ENSMUSG00000059436 MAX
Maz ENSMUSG00000030678 MAZ
Mbd2 ENSMUSG00000024513 MBD2
Nr3c2 ENSMUSG00000031618 MCR
Mecp2 ENSMUSG00000031393 MECP2
Mef2a ENSMUSG00000030557 MEF2A
Mef2c ENSMUSG00000005583 MEF2C
Mef2d ENSMUSG00000001419 MEF2D
Meis1 ENSMUSG00000020160 MEIS1
Meis2 ENSMUSG00000027210 MEIS2
Mitf ENSMUSG00000035158 MITF
Mixl1 ENSMUSG00000026497 MLXPL
Msx2 ENSMUSG00000021469 MSX2
Msx3 ENSMUSG00000025469 MSX3
Mtf1 ENSMUSG00000028890 MTF1
Mxi1 ENSMUSG00000025025 MXI1
Myb ENSMUSG00000019982 MYB
Mybl2 ENSMUSG00000017861 MYBB
Myc ENSMUSG00000022346 MYC
Mycn ENSMUSG00000037169 MYCN
Myf6 ENSMUSG00000035923 MYF6
Myod1 ENSMUSG00000009471 MYOD1
Myog ENSMUSG00000026459 MYOG
Nanog ENSMUSG00000012396 NANOG.A
Nanog ENSMUSG00000012396 NANOG.S
Neurod1 ENSMUSG00000034701 NDF1
Nfe2l1 ENSMUSG00000038615 NF2L1
Nfe2l2 ENSMUSG00000015839 NF2L2
Nfatc1 ENSMUSG00000033016 NFAC1.A
Nfatc1 ENSMUSG00000033016 NFAC1.S
Nfatc2 ENSMUSG00000027544 NFAC2
Nfatc3 ENSMUSG00000031902 NFAC3
Nfatc4 ENSMUSG00000023411 NFAC4
Nfat5 ENSMUSG00000003847 NFAT5
Nfe2 ENSMUSG00000058794 NFE2
Nfia ENSMUSG00000028565 NFIA.C
Nfia ENSMUSG00000028565 NFIA.S
Nfil3 ENSMUSG00000056749 NFIL3
Nfkb1 ENSMUSG00000028163 NFKB1
Nfkb2 ENSMUSG00000025225 NFKB2
Nfya ENSMUSG00000023994 NFYA.D
Nfya ENSMUSG00000023994 NFYA.S
Nfyb ENSMUSG00000020248 NFYB
Nfyc ENSMUSG00000032897 NFYC
Nkx2-1 ENSMUSG00000001496 NKX21
Nkx2-2 ENSMUSG00000027434 NKX22
Nkx2-5 ENSMUSG00000015579 NKX25
Nkx2-9 ENSMUSG00000058669 NKX28
Nkx3-1 ENSMUSG00000022061 NKX31
Nkx3-2 ENSMUSG00000049691 NKX32
Nobox ENSMUSG00000029736 NOBOX
Nr0b1 ENSMUSG00000025056 NR0B1
Nr1d1 ENSMUSG00000020889 NR1D1
Nr1h2 ENSMUSG00000060601 NR1H2
Nr1h4 ENSMUSG00000047638 NR1H4
Nr1i2 ENSMUSG00000022809 NR1I2.S
Nr1i3 ENSMUSG00000005677 NR1I3.S
Nr2c1 ENSMUSG00000005897 NR2C1
Nr2c2 ENSMUSG00000005893 NR2C2
Nr2e3 ENSMUSG00000032292 NR2E3
Nr2f6 ENSMUSG00000002393 NR2F6
Nr4a1 ENSMUSG00000023034 NR4A1
Nr4a2 ENSMUSG00000026826 NR4A2
Nr4a3 ENSMUSG00000028341 NR4A3
Nr5a2 ENSMUSG00000026398 NR5A2
Nr6a1 ENSMUSG00000063972 NR6A1
Nrf1 ENSMUSG00000058440 NRF1
Olig2 ENSMUSG00000039830 OLIG2
Onecut2 ENSMUSG00000045991 ONEC2
Otx1 ENSMUSG00000005917 OTX1
Otx2 ENSMUSG00000021848 OTX2
Ovol1 ENSMUSG00000024922 OVOL1
Trp53 ENSMUSG00000059552 P53
Trp63 ENSMUSG00000022510 P63
Trp73 ENSMUSG00000029026 P73
Pax2 ENSMUSG00000004231 PAX2.D
Pax2 ENSMUSG00000004231 PAX2.S
Pax5 ENSMUSG00000014030 PAX5.D
Pax5 ENSMUSG00000014030 PAX5.S
Pax6 ENSMUSG00000027168 PAX6
Pax8 ENSMUSG00000026976 PAX8
Pbx1 ENSMUSG00000052534 PBX1
Pbx2 ENSMUSG00000034673 PBX2
Pbx3 ENSMUSG00000038718 PBX3
Pdx1 ENSMUSG00000029644 PDX1
Cbfb ENSMUSG00000031885 PEBB
Pou1f1 ENSMUSG00000004842 PIT1
Pitx2 ENSMUSG00000028023 PITX2
Pknox1 ENSMUSG00000006705 PKNX1
Plag1 ENSMUSG00000003282 PLAG1.D
Plag1 ENSMUSG00000003282 PLAG1.S
Pou2f1 ENSMUSG00000026565 PO2F1
Pou2f2 ENSMUSG00000008496 PO2F2
Pou3f1 ENSMUSG00000090125 PO3F1
Pou3f2 ENSMUSG00000095139 PO3F2
Pou4f2 ENSMUSG00000031688 PO4F2
Pou5f1 ENSMUSG00000024406 PO5F1
Pou6f1 ENSMUSG00000009739 PO6F1
Ppara ENSMUSG00000022383 PPARA.C
Ppara ENSMUSG00000022383 PPARA.S
Ppard ENSMUSG00000002250 PPARD
Pparg ENSMUSG00000000440 PPARG.A
Pparg ENSMUSG00000000440 PPARG.S
Prdm14 ENSMUSG00000042414 PRD14
Prdm1 ENSMUSG00000038151 PRDM1
Pgr ENSMUSG00000031870 PRGR.C
Pgr ENSMUSG00000031870 PRGR.S
Prop1 ENSMUSG00000044542 PROP1
Prrx1 ENSMUSG00000026586 PRRX1
Prrx2 ENSMUSG00000039476 PRRX2
Ptf1a ENSMUSG00000026735 PTF1A
Pura ENSMUSG00000043991 PURA
Rara ENSMUSG00000037992 RARA.C
Rara ENSMUSG00000037992 RARA.S
Rarb ENSMUSG00000017491 RARB
Rarg ENSMUSG00000001288 RARG.C
Rarg ENSMUSG00000001288 RARG.S
Rel ENSMUSG00000020275 REL
Relb ENSMUSG00000002983 RELB
Rest ENSMUSG00000029249 REST
Rfx1 ENSMUSG00000031706 RFX1
Rfx2 ENSMUSG00000024206 RFX2
Rfx3 ENSMUSG00000040929 RFX3
Rora ENSMUSG00000032238 RORA
Rorc ENSMUSG00000028150 RORG
Rreb1 ENSMUSG00000039087 RREB1
Runx1 ENSMUSG00000022952 RUNX1
Runx2 ENSMUSG00000039153 RUNX2
Runx3 ENSMUSG00000070691 RUNX3
Rxra ENSMUSG00000015846 RXRA
Rxrb ENSMUSG00000039656 RXRB
Rxrg ENSMUSG00000015843 RXRG
Smad1 ENSMUSG00000031681 SMAD1
Smad2 ENSMUSG00000024563 SMAD2
Smad3 ENSMUSG00000032402 SMAD3
Smad4 ENSMUSG00000024515 SMAD4
Smarcc1 ENSMUSG00000032481 SMRC1
Snai1 ENSMUSG00000042821 SNAI1
Snai2 ENSMUSG00000022676 SNAI2
Sox10 ENSMUSG00000033006 SOX10
Sox13 ENSMUSG00000070643 SOX13
Sox15 ENSMUSG00000041287 SOX15
Sox17 ENSMUSG00000025902 SOX17
Sox18 ENSMUSG00000046470 SOX18
Sox2 ENSMUSG00000074637 SOX2
Sox3 ENSMUSG00000045179 SOX3
Sox4 ENSMUSG00000076431 SOX4
Sox5 ENSMUSG00000041540 SOX5
Sox9 ENSMUSG00000000567 SOX9
Sp1 ENSMUSG00000001280 SP1.A
Sp1 ENSMUSG00000001280 SP1.S
Sp2 ENSMUSG00000018678 SP2
Sp3 ENSMUSG00000027109 SP3
Sp4 ENSMUSG00000025323 SP4
Spi1 ENSMUSG00000002111 SPI1
Spib ENSMUSG00000008193 SPIB
Spz1 ENSMUSG00000046957 SPZ1
Srebf1 ENSMUSG00000020538 SRBP1
Srebf2 ENSMUSG00000022463 SRBP2
Srf ENSMUSG00000015605 SRF
Sry ENSMUSG00000069036 SRY
Stat5a ENSMUSG00000004043 STA5A
Stat5b ENSMUSG00000020919 STA5B
Stat1 ENSMUSG00000026104 STAT1
Stat2 ENSMUSG00000040033 STAT2
Stat3 ENSMUSG00000004040 STAT3
Stat4 ENSMUSG00000062939 STAT4
Stat6 ENSMUSG00000002147 STAT6
Nr5a1 ENSMUSG00000026751 STF1
Rbpj ENSMUSG00000039191 SUH
Tal1 ENSMUSG00000028717 TAL1.A
Tal1 ENSMUSG00000028717 TAL1.S
Tbp ENSMUSG00000014767 TBP
Tbx2 ENSMUSG00000000093 TBX2
Tbx20 ENSMUSG00000031965 TBX20
Tbx3 ENSMUSG00000018604 TBX3
Tbx5 ENSMUSG00000018263 TBX5
Tcf7 ENSMUSG00000000782 TCF7
Tead1 ENSMUSG00000055320 TEAD1
Tead3 ENSMUSG00000002249 TEAD3
Tead4 ENSMUSG00000030353 TEAD4
Tef ENSMUSG00000022389 TEF
Tfcp2l1 ENSMUSG00000026380 TF2L1
Rela ENSMUSG00000024927 TF65.C
Rela ENSMUSG00000024927 TF65.S
Tcf7l2 ENSMUSG00000024985 TF7L2
Tfcp2 ENSMUSG00000009733 TFCP2
Tfdp1 ENSMUSG00000038482 TFDP1
Tcf3 ENSMUSG00000020167 TFE2.A
Tcf3 ENSMUSG00000020167 TFE2.S
Tfe3 ENSMUSG00000000134 TFE3
Tfeb ENSMUSG00000023990 TFEB
Tgif1 ENSMUSG00000047407 TGIF1.S
Thra ENSMUSG00000058756 THA.C
Thra ENSMUSG00000058756 THA.S
Thrb ENSMUSG00000021779 THB.C
Thra ENSMUSG00000058756 THB.S
Tlx1 ENSMUSG00000025215 TLX1.D
Tlx1 ENSMUSG00000025215 TLX1.S
Twist1 ENSMUSG00000035799 TWST1
Yy1 ENSMUSG00000021264 TYY1
Ubp1 ENSMUSG00000009741 UBIP1
Usf1 ENSMUSG00000026641 USF1
Usf2 ENSMUSG00000058239 USF2
Vdr ENSMUSG00000022479 VDR.C
Vdr ENSMUSG00000022479 VDR.S
Vsx2 ENSMUSG00000021239 VSX2
Wt1 ENSMUSG00000016458 WT1
Xbp1 ENSMUSG00000020484 XBP1
Ybx1 ENSMUSG00000028639 YBOX1
Zbtb18 ENSMUSG00000063659 ZBT18
Zbtb7a ENSMUSG00000035011 ZBT7A
Zbtb6 ENSMUSG00000066798 ZBTB6
Zeb1 ENSMUSG00000024238 ZEB1
Hivep1 ENSMUSG00000021366 ZEP1
Hivep2 ENSMUSG00000015501 ZEP2
Zfhx3 ENSMUSG00000038872 ZFHX3
Zfx ENSMUSG00000079509 ZFX
Zic1 ENSMUSG00000032368 ZIC1
Zic2 ENSMUSG00000061524 ZIC2
Zic3 ENSMUSG00000067860 ZIC3
Zfp143 ENSMUSG00000061079 ZN143
Zfp148 ENSMUSG00000022811 ZN148
Zfp423 ENSMUSG00000045333 ZN423
